natural_language,expected_parse,parsed_utterance
What can you do?,function [e],function [e]
What is this chat,self [e],label past_electricity [e]
Explain this system,self and function [e],define and explain features [e]
What is the purpose of this chat,self [e],function [e]
What can I ask,function [e],previousoperation [e]
Describe the data,data [e],data [e]
what is the dataset?,data [e],data [e]
What can you tell me about the model?,model [e],model [e]
Describe the model,model [e],model [e]
Tell me about the data and the model,data and model [e],data and explain [e]
Explain model and data,model and data [e],define and describe [e]
What are the features?,features [e],featureList [e]
Yes,followup [e],previousoperation [e]
Show more deatils,followup [e],filter past_electricity less than 640.4 and show [e]
Tell me more,followup [e],previousoperation [e]
I want more info,followup [e],previousoperation [e]
Tell me about outdoor temperature distribution,statistic outdoor_temperature [e],statistic outdoor_temperature [e]
what is the average indoor temperature?,statistic indoor_temperature [e],statistic indoor_temperature [e]
Maximum of past electricity,statistics past_electricity [e],previousfilter and statistic past_electricity [e]
Show id 33,filter id 33 and show [e],filter id 33 and show [e]
What are the features of the instance 50?,filter id 50 and show [e],filter 50 and explain features [e]
Show me data points with outdoor temperature higher than 22,filter outdoor_temperature greater than 22 and show [e],filter outdoor_temperature greater than 22 and show [e]
what ids have past electricity less than 1000,filter past_electricity less than 1000 and show [e],filter past_electricity less than 1000 and show [e]
How many instances with indoor temperature more than 25 degrees?,filter indoor_temperature greater than 25 and countdata [e],filter indoor_temperature greater than 25 and countdata [e]
How many rows are in the dataset?,countdata [e],countdata [e]
Total number of ids,countdata [e],countdata [e]
How many instances was in that selection?,previousfilter and countdata [e],previousfilter and countdata [e]
How do the features interact?,interact [e],interract [e]
What are most important features?,important all [e],important all [e]
Features by importance,important all [e],important all [e]
What are feature importances for id 111?,filter id 111 and important all [e],filter id 111 and explain features [e]
What is the prediction for id 123?,filter id 123 and predict [e],filter id 123 and predict [e]
How do you predict the data point 20,filter id 20 and predict [e],filter 20 and predict [e]
What are the predictions for rows with outdoor temperature higher than 22?,filter outdoor_temperature greater than 22 and predict [e],filter outdoor_temperature greater than 22 and predict [e]
Show predictions where indoor temperature is less than 21 degree,filter indoor_temperature less than 21 and predict [e],filter indoor_temperature less than 21 and predict [e]
What is predicted when past electricity is less than 2000?,filter past_electricity less than 2000 and predict [e],filter past_electricity less than 2000 and predict [e]
Explain the predictions,explain features [e],previousoperation [e]
Why is id 33 predicted this way?,filter id 33 and explain features [e],filter id 33 and explain features [e]
why this result for data point 200,filter id 200 and explain features [e],filter 200 and explain features [e]
help me understand this prediction,previousfilter and explain features [e],previousoperation [e]
why is that so?,previousfilter and explain features [e],previousoperation [e]
What are the most important features for the points with outdoor temperature higher than 25 degrees?,filter outdoor_temperature greater than 25 and explain features [e],filter outdoor_temperature greater than 25 and important all [e]
What are the labels when outdoor_temperature is higher than 24?,filter outdoor_temperature greater than 24 and label [e],filter outdoor_temperature greater than 24 and label [e]
What are the labels of the data?,label [e],label [e]
What is the ground truth for id 23?,filter id 23 and label [e],filter id 23 and explain features [e]
I want to see ground truth values,label [e],label [e]
What is the correct prediction for this point?,previousfilter and label [e],previousoperation [e]
Show me the truth values for rows where indoor temperature is less than 23,filter indoor_temperature less than 23 and label [e],filter indoor_temperature less than 23 and statistic [e]
What is the actual value for id 11?,filter id 11 and label [e],filter id 11 and explain features [e]
How can I change the prediction for id 33?,filter id 33 and explain cfe [e],filter id 33 and explain cfe [e]
How can this prediction be changed?,previousfilter and explain cfe [e],previousoperation and change [e]
Change prediction for id 30,filter id 30 and explain cfe [e],filter id 30 and explain features [e]
What will it predict if we decrease indoor temperature by 3 degrees?,change indoor_temperature decrease 3 and predict [e],change indoor_temperature decrease 3 and predict [e]
What would be the prediction if outdoor temperature would be 30?,change outdoor_temperature set 30 and predict [e],change outdoor_temperature equal to 30 and predict [e]
Change indoor temperature to 22 and predict,change indoor_temperature set 22 and predict [e],change indoor_temperature set 22 and predict [e]
"When outdoor temperature is more than 23 degrees, what would be the prediction if we set indoor temperature to 23 degrees also?",filter outdoor_temperature greater than 23 and change indoor_temperature set 23 and predict [e],filter outdoor_temperature greater than 23 and change indoor_temperature set 23 and predict [e]
How accurate is the model?,score default [e],score default [e]
Is the model predicting correctly?,score default [e],mistake sample [e]
Show me where does the model err,mistake sample [e],mistake sample [e]
What are the typical mistakes made by the model?,mistake typical [e],mistake typical [e]
How accurate is the model for samples with outdoor temperature higher than 25 degrees?,filter outdoor_temperature greater than 25 and scrore default [e],filter outdoor_temperature greater than 25 and score default [e]
Does the model predict correctly when indoor temperature is lower than 23 degrees?,filter indoor_temperature less than 23 and mistake sample [e],filter indoor_temperature less than 23 and mistake sample [e]
Why is it predicted so?,previousfilter and explain features [e],previousoperation [e]
What about id 333?,filter id 333 and previousoperation [e],filter id 333 and explain features [e]
What could be done to get a different prediction?,previousfilter and explain cfe [e],previousfilter and explain features [e]
